-5,-4.84,-2305.4357,-5,-55.2,0.909,-2296.4
-4.5,-4.35,-2071.495,-4.5,-44.6,0.73,-2019.89
-4,-3.65,-1737.294,-4,-31.6,0.57,-1743.38
-3.5,-3.01,-1431.7388,-3.5,-21.1,0.31,-1466.87
-3,-2.42,-1150.0551,-3,-12.8,0.19,-1190.36
-2.5,-1.88,-892.2429,-2.5,-7.4,0.13,-913.85
-2,-1.34,-634.4307,-2,-4.37,0.282,-637.34
-1.5,-0.79,-371.8442,-1.5,-1.35,0.05,-360.83
-1,-0.26,-118.8063,-1,-0.13,0.012,-84.32
-0.5,0,0,-0.5,0,0,0
0,0,0,0,0,0,0
0.5,0,0,0.5,0,0,0
1,0.21,105.5858,1,0,0,43.3
1.5,0.74,358.6237,1.5,0.98,-0.022,333.655
2,1.26,606.8873,2,3.3,-0.116,624.01
2.5,1.85,888.571,2.5,6.84,-0.281,914.365
3,2.39,1146.3832,3,12.3,-0.705,1204.72
3.5,2.99,1432.8412,3.5,19.5,-1.07,1495.075
4,3.65,1747.945,4,28,-1.25,1785.43
4.5,4.45,2129.889,4.5,40.2,-1.62,2075.785
5,5.07,2425.8956,5,50.8,-1.72,2366.14
